session_id,start_time,end_time,segment_start_m,segment_end_m,distance_m,drop_m,avg_grade_pct,steepest_100m_grade_pct,avg_speed_mps,max_speed_mps,avg_speed_mph,max_speed_mph,brake_fraction,avg_brake_signal,avg_power_proxy_W,max_power_proxy_W,energy_proxy_kJ
7,2026-07-25 14:10:19+00:00,2026-07-25 14:26:39+00:00,660.0,1330.0,670.0,16.19176563302213,-2.4166814377644967,-6.012106884322691,8.733279806229609,12.644582989360467,19.535790547220852,28.285126586794174,0.08823529411764706,0.0,609.0841383366649,1805.244228051733,44.63438306164513
7,2026-07-25 14:10:19+00:00,2026-07-25 14:26:39+00:00,3630.0,3960.0,330.0,6.062298313615031,-1.837060095034858,-2.7068184096191885,7.473853359185099,9.145662476191616,16.718533820653853,20.458264307873158,0.0,0.0,366.5270590248706,628.8222212080318,16.71139215429433
7,2026-07-25 14:10:19+00:00,2026-07-25 14:26:39+00:00,4950.0,5390.0,440.0,8.77284665159226,-1.9938287844527864,-3.634764554874039,7.028225009708729,9.544625546123582,15.721691592941859,21.35071927819341,0.3111111111111111,0.0,386.845740099953,749.0388116769125,24.183316808245742
9,2026-07-25 14:26:41+00:00,2026-07-25 14:28:19+00:00,190.0,610.0,420.0,13.532030988684056,-3.2219121401628708,-5.603857757699927,7.997600475380791,9.673657082427523,17.890122752730832,21.63935460457123,0.3023255813953488,0.0,650.4499458431854,1339.3516285125265,37.30253194371635
21,2026-07-25 14:43:08+00:00,2026-07-25 14:54:56+00:00,50.0,610.0,560.0,11.266798543104755,-2.011928311268706,-3.001690725238575,14.892750558121538,16.292260398505437,33.31413421197552,36.444748565017534,0.07017543859649122,0.0,811.2503470771626,1335.038038262569,31.058169531908003
21,2026-07-25 14:43:08+00:00,2026-07-25 14:54:56+00:00,2540.0,3050.0,510.0,14.528057121349747,-2.8486386512450483,-4.960077599593461,7.327660702409095,8.644504791807627,16.391510161079758,19.337206495632667,0.07692307692307693,0.0,525.025559760769,788.5101702785466,40.04818754128393
21,2026-07-25 14:43:08+00:00,2026-07-25 14:54:56+00:00,3560.0,3920.0,360.0,6.128617738541948,-1.7023938162616523,-2.5830320197263745,14.729948679580417,15.876053213219931,32.94995678145226,35.51371960723857,0.0,0.0,667.7104270330926,1044.0650601268555,16.89420894424212
21,2026-07-25 14:43:08+00:00,2026-07-25 14:54:56+00:00,4750.0,5120.0,370.0,5.124833741013219,-1.385090200273843,-1.7884223926508014,14.430302498204815,15.028055197166903,32.27966736355766,33.616802069539425,0.0,0.0,540.9962666861478,725.5929730221428,14.127167938814452
23,2026-07-25 14:54:58+00:00,2026-07-25 14:59:11+00:00,1810.0,2530.0,720.0,13.949493450370795,-1.9374296458848326,-4.031859359868548,15.973141077644112,16.9702921300783,35.73089897468708,37.96146235253735,0.0,0.0,826.5828475326562,1751.9449880766788,38.45331314022664
27,2026-07-25 15:00:35+00:00,2026-07-25 15:03:21+00:00,50.0,920.0,870.0,23.128481750226115,-2.6584461781869098,-3.843197778270337,19.370976982440254,20.814139225247665,43.331641424571075,46.5599034208296,0.0,0.0,1383.5379690273412,1911.0665114132353,63.756204077490814
31,2026-07-25 15:03:48+00:00,2026-07-25 15:13:52+00:00,2280.0,2860.0,580.0,8.822703120351264,-1.5211557104053903,-2.276416092173463,19.279894335638065,20.467170370275507,43.12789534636289,45.78375619692982,0.0,0.0,797.921118174704,1236.0237794145255,24.320751648591497
37,2026-07-25 15:17:34+00:00,2026-07-25 15:20:56+00:00,960.0,1410.0,450.0,6.729576043368809,-1.4954613429708463,-2.115120578282614,21.79089695092211,23.5203281024315,48.744848225935286,52.61347553335607,0.0,0.0,880.2522990801671,1287.9455069208195,18.550816616910893
39,2026-07-25 15:20:58+00:00,2026-07-25 15:24:37+00:00,50.0,420.0,370.0,6.3451592882440195,-1.714907915741627,-2.226711376487799,20.856585298612277,21.141348986978528,46.654852582794106,47.29185081195984,0.0,0.0,946.978166674047,1275.1307311701498,17.491129545566345
39,2026-07-25 15:20:58+00:00,2026-07-25 15:24:37+00:00,2060.0,2640.0,580.0,9.725365008670792,-1.6767870704604813,-2.2958622941969224,18.031902563695883,20.40486449115926,40.33621725952014,45.64438191472633,0.23728813559322035,0.0,824.4928964804125,1274.2589283439352,26.809038436551994
41,2026-07-25 15:24:39+00:00,2026-07-25 15:25:34+00:00,160.0,860.0,700.0,30.035065425601744,-4.29072363222882,-5.574535079879638,18.286868634867023,22.944780851836267,40.90656011736539,51.32601300070747,0.04225352112676056,0.0,2207.3856568372926,3276.794996474891,82.79496170286802
43,2026-07-25 15:25:36+00:00,2026-07-25 15:28:00+00:00,50.0,430.0,380.0,6.367276493758936,-1.6755990773049831,-3.289384411184926,24.396201767976695,24.799977316489027,54.572749123068846,55.47596930138025,0.0,0.0,1086.017358451453,2226.6433330211107,17.55209805546082
43,2026-07-25 15:25:36+00:00,2026-07-25 15:28:00+00:00,1420.0,1700.0,280.0,6.399621408555589,-2.285579074484139,-2.906217057321811,15.70160661084741,16.15715130871264,35.1234936713659,36.14251813867358,0.3793103448275862,0.0,923.4562677904556,1281.453406991388,17.641260371038424
53,2026-07-25 15:31:21+00:00,2026-07-25 15:41:25+00:00,1350.0,1790.0,440.0,5.499133078190738,-1.2498029723160768,-1.916405632869754,13.495136606493988,14.361902097887226,30.187760841298292,32.1266600256962,0.1111111111111111,0.0,443.4161529306417,699.1851991417075,15.15896523467137
53,2026-07-25 15:31:21+00:00,2026-07-25 15:41:25+00:00,2780.0,3310.0,530.0,14.838744200583875,-2.799763056713939,-4.226459636300177,19.845365182009093,20.973524934794646,44.39281760470896,46.916439098950086,0.16666666666666666,0.0,1506.5446040967101,2442.339111110401,40.90463065077152
53,2026-07-25 15:31:21+00:00,2026-07-25 15:41:25+00:00,6330.0,6750.0,420.0,5.775954911667071,-1.3752273599207312,-1.8315102162602557,18.327780065745188,18.984042780658406,40.99807638185663,42.46609426596816,0.0,0.0,673.244071058294,925.203370283964,15.922055069050566
55,2026-07-25 15:41:27+00:00,2026-07-25 15:42:17+00:00,50.0,290.0,240.0,5.64491909651494,-2.3520496235478916,-2.9767361233518557,20.70878564126259,21.54220656354734,46.32423416531539,48.188543672931594,0.0,0.0,1255.2096631973152,1705.6173735433258,15.560840430644049
59,2026-07-25 15:43:35+00:00,2026-07-25 15:45:31+00:00,1610.0,1860.0,250.0,6.558935598495168,-2.623574239398067,-3.850207657323324,18.124070015751762,20.905944429548168,40.54238997797012,46.76526581412887,0.0,0.0,1229.9265535318214,1992.5093171428164,18.080427460167765
63,2026-07-25 15:46:24+00:00,2026-07-25 15:47:38+00:00,290.0,590.0,300.0,6.141984295860311,-2.047328098620104,-2.6483332917054554,16.170453957433516,17.758377195515003,36.172275316377764,39.72435843663879,0.0,0.0,899.5309211374736,1198.9853575957502,16.931055329811493
73,2026-07-25 15:52:06+00:00,2026-07-25 15:56:59+00:00,2240.0,5750.0,3510.0,87.74282057478422,-2.4997954579710604,-3.9403943857226977,22.79265010633495,25.29807223831298,50.985706214958284,56.59017590889625,0.20738636363636365,0.0,1569.0819539874371,2649.923816108877,241.87273662465591
75,2026-07-25 15:57:01+00:00,2026-07-25 15:57:40+00:00,50.0,780.0,730.0,13.650586849926924,-1.8699434040995788,-2.72371414281713,22.78174961949186,22.98694949292982,50.96132252033791,51.42034156435626,0.0,0.0,1157.282898910211,1723.1143372070635,37.629344216377056
77,2026-07-25 15:57:42+00:00,2026-07-25 16:03:10+00:00,3310.0,4090.0,780.0,9.964037983610325,-1.277440767129529,-2.135143374957181,20.120384743843374,21.033181038056203,45.008018843600965,47.049886001378404,0.0,0.0,691.5147799304069,1150.5979607801075,27.46696674600006
77,2026-07-25 15:57:42+00:00,2026-07-25 16:03:10+00:00,4450.0,5280.0,830.0,21.16331431329536,-2.5497969052163083,-4.176635038724811,22.5112447072662,24.62368229541937,50.35622026500135,55.081608570641045,0.0,0.0,1586.3464378413187,2688.9599802186713,58.339003869173126
79,2026-07-25 16:03:12+00:00,2026-07-25 16:10:33+00:00,2750.0,3470.0,720.0,10.117158781603678,-1.4051609418893998,-2.5198956462564297,16.618459896791883,17.67522400221256,37.17443606118442,39.53835004074033,0.1780821917808219,0.0,637.0322929572579,1221.8842238610848,27.889061068956515
89,2026-07-25 16:14:12+00:00,2026-07-25 16:20:51+00:00,1600.0,2010.0,410.0,9.685187746019835,-2.362240913663374,-3.018607146082985,18.984013213005735,20.005474345343472,42.466028125012826,44.7509716028621,0.0,0.0,1189.8113426412922,1621.0564306847434,26.69828539255574
89,2026-07-25 16:14:12+00:00,2026-07-25 16:20:51+00:00,5960.0,6710.0,750.0,7.075207463708097,-0.9433609951610796,-1.4188659089665236,18.57152924268658,19.254702551354978,41.54332776191522,43.071542929838444,0.0,0.0,473.18823860723415,709.0934531782511,19.503587646532377
